#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
17558168020000,1.4861851,0.59155655,1.0605125,0.5416955487833051,-0.09500071466425981,0.8297398859245599,0.09524976822823204
17558201075500,1.4832462,0.59295046,1.047102,0.5361294360696455,-0.0934162491389779,0.833392962673237,0.09640955317380451
17558234088200,1.4806945,0.59339786,1.0336512,0.5303186583841379,-0.09257301320272958,0.836865866670104,0.09923648018098384
17558266847300,1.4786413,0.5933435,1.0197618,0.5226400282719122,-0.0938830534715771,0.841111092092356,0.10278863691085631
17558299910700,1.4786413,0.5933435,1.0197618,0.5226400282719122,-0.0938830534715771,0.841111092092356,0.10278863691085631
17558332845600,1.4775097,0.5937381,1.0107269,0.517312430791262,-0.09630832002673945,0.8438857814962778,0.10473463720698838
17558365799800,1.4763646,0.5947266,1.0025512,0.5134876716480642,-0.098478150415509,0.8458782778624584,0.10546280859446115
17558398615200,1.4750351,0.5959535,0.9959176,0.5113599626358467,-0.09921468255288411,0.8472488255722822,0.10410025430028785
17558431899500,1.4737059,0.596843,0.99103105,0.5107788160530423,-0.09982985882679135,0.8476267093290918,0.10328582666566903
17558464583700,1.4737059,0.596843,0.99103105,0.5107788160530423,-0.09982985882679135,0.8476267093290918,0.10328582666566903
17558497796900,1.4726099,0.5968712,0.9873347,0.5105416139709105,-0.10090482061176999,0.8475597086888434,0.10396161690050497
17558530706300,1.4718214,0.5953771,0.9855809,0.510936042059062,-0.1022484526563509,0.8472848532232093,0.10294655095206981
17558563819600,1.4718214,0.5953771,0.9855809,0.510936042059062,-0.1022484526563509,0.8472848532232093,0.10294655095206981
17558596898400,1.4710417,0.5937225,0.9854425,0.5132417117510756,-0.10689097013556922,0.8457386910559247,0.09941494994875787
17558630313900,1.4696903,0.5940929,0.9865646,0.5183684177942732,-0.11132245914144819,0.8424623678312433,0.09570084802308265
17558662685400,1.4696903,0.5940929,0.9865646,0.5183684177942732,-0.11132245914144819,0.8424623678312433,0.09570084802308265
17558695942800,1.4683887,0.5944852,0.98748696,0.5224833871472427,-0.11240549367189506,0.8399633328551193,0.09400911980463504
17558728863200,1.4668568,0.5945051,0.9881441,0.5258666069949129,-0.11195824976053671,0.838029003682041,0.09293573556980571
17558761745600,1.464915,0.59437555,0.98826665,0.5277358748243254,-0.111154721959629,0.8370328071686381,0.09227975906378981
17558795122900,1.4626971,0.59490097,0.98779577,0.5283083123343657,-0.11201463269680757,0.8365486194270574,0.09235505679115733
17558827973500,1.4626971,0.59490097,0.98779577,0.5283083123343657,-0.11201463269680757,0.8365486194270574,0.09235505679115733
17558860827600,1.4599018,0.5958198,0.98665804,0.5284994824492996,-0.1124222877582643,0.8364735483139042,0.09144139783034294
17558893877400,1.4569386,0.59676826,0.9850008,0.5287840164894262,-0.1116138480316345,0.8365000366641009,0.09054005463792901
17558926932800,1.4536031,0.5975244,0.982659,0.527940740939854,-0.1102133963211315,0.83723598199087,0.09037417654962482
17558959887800,1.4497623,0.5980591,0.9792681,0.5255556182876269,-0.10950367808150892,0.8388356528101263,0.09030495084734252
17558993392400,1.4454343,0.5983797,0.9745574,0.5221668709048769,-0.10952849364793829,0.8409088246262222,0.09065107100508277
17559026701300,1.4454343,0.5983797,0.9745574,0.5221668709048769,-0.10952849364793829,0.8409088246262222,0.09065107100508277
17559059595200,1.441153,0.5982165,0.9690354,0.5187781155124359,-0.1093281561365853,0.8429649546693959,0.09125078816297155
17559091948600,1.4366108,0.5975674,0.9624262,0.5153478592037317,-0.10858417553142591,0.8451174957494757,0.09166503813573595
17559124786900,1.4316336,0.59639937,0.95439917,0.51112284280913,-0.10718925314228818,0.8477680722577554,0.09248350788049248
17559157749400,1.4316336,0.59639937,0.95439917,0.51112284280913,-0.10718925314228818,0.8477680722577554,0.09248350788049248
17559190732500,1.4231555,0.59395576,0.93970805,0.5019463623498281,-0.10345846953111011,0.8533699214930089,0.09542521415784767
17559224304900,1.4163715,0.59197617,0.92827594,0.4942764451047003,-0.09939510442698732,0.8581768273486489,0.09666406794882874
17559256760700,1.4088074,0.58975595,0.9163607,0.4867890555932941,-0.0953898053509633,0.8629204105870463,0.09646535845565285
17559289871500,1.4088074,0.58975595,0.9163607,0.4867890555932941,-0.0953898053509633,0.8629204105870463,0.09646535845565285
17559322763500,1.4004616,0.58741945,0.90321827,0.47859424217938795,-0.09122838664926472,0.8677834810642674,0.09786093609858784
17559355739400,1.3911701,0.5855207,0.8889524,0.469145222940812,-0.08663944750751362,0.8732341685081615,0.09928974205459815
17559388788400,1.378902,0.5838678,0.8708643,0.4577949285422451,-0.08043977070061302,0.8799549076585375,0.09814584646478051
17559423096900,1.378902,0.5838678,0.8708643,0.4577949285422451,-0.08043977070061302,0.8799549076585375,0.09814584646478051
17559455075500,1.3650779,0.581774,0.84931743,0.4458975222870283,-0.07487873337038448,0.8864637890572904,0.09874474972031619
17559487806300,1.3540789,0.5810871,0.8321352,0.4365943476816922,-0.06978559318238163,0.8914208095270759,0.099419751049143
17559521264200,1.3451958,0.5815778,0.81837094,0.42896665880334434,-0.06649532465111906,0.8952732882609064,0.10025825033951813
17559554122900,1.3353547,0.58300537,0.80326754,0.4205176352830837,-0.06341301958786412,0.8993420251127345,0.10162494393011022
